_city,_state,_lat,_lon,_school_content,_type_value,_accreditation_content,_county,_street_address
Hempstead,New York,40.706213,-73.61874,Hofstra University School of Law,Private,Full ABA,Nassau County,
New York City,New York,40.725336,-73.996813,New York Law School,Private,Full ABA,New York County,"185 W Broadway, New York, NY 10013"
New York City,New York,40.730164,-73.999039,New York University School of Law,Private,Full ABA,New York County,"245 Sullivan St, New York, NY 10012"
New York City,New York,40.734715,-73.994132,"Benjamin N. Cardozo School of Law, Yeshiva University",Private,Full ABA,New York County,"55 5th Ave, New York, NY 10003"
Newark,New Jersey,40.737276,-74.169906,Seton Hall University School of Law,Private,Full ABA,Essex County,"1109 Raymond Blvd, Newark, NJ 07102"
Newark,New Jersey,40.740526,-74.17319,"Rutgers School of Law–Newark, Rutgers University",Public,Full ABA,Essex County,"123 Washington St, Newark, NJ 07102"
Salt Lake City,Utah,40.767013,-111.890431,"S.J. Quinney College of Law, University of Utah",Public,Full ABA,Salt Lake County,
New York City,New York,40.771639,-73.984889,Fordham University School of Law,Private,Full ABA,New York County,"150 W 62nd St, New York, NY 10023"
Central Islip,New York,40.790654,-73.201781,Touro College Jacob D. Fuchsberg Law Center,Private,Full ABA,Suffolk County,
Lincoln,Nebraska,40.800055,-96.6674,University of Nebraska–Lincoln College of Law,Public,Full ABA,Lancaster County,
New York City,New York,40.806753,-73.960483,Columbia University Law School,Private,Full ABA,New York County,"435 W 116th St, New York, NY 10027"
White Plains,New York,41.033986,-73.76291,Pace University School of Law,Private,Full ABA,Westchester County,
Akron,Ohio,41.083064,-81.518485,University of Akron School of Law,Public,Full ABA,Summit County,
Omaha,Nebraska,41.258732,-95.937873,Creighton University School of Law,Private,Full ABA,Douglas County,
New Haven,Connecticut,41.308214,-72.925052,Yale Law School,Private,Full ABA,New Haven County,
Laramie,Wyoming,41.311367,-105.591101,University of Wyoming College of Law,Public,Full ABA,Albany County,
Hamden,Connecticut,41.395929,-72.896872,Quinnipiac University School of Law,Private,Full ABA,New Haven County,
Valparaiso,Indiana,41.473095,-87.061141,Valparaiso University School of Law,Private,Full ABA,Porter County,
Cleveland,Ohio,41.501406,-81.678641,"Cleveland-Marshall College of Law, Cleveland State University",Public,Full ABA,Cuyahoga County,"1801 Euclid Ave, Cleveland, OH 44115"
Cleveland,Ohio,41.51129,-81.608971,Case Western Reserve University School of Law,Private,Full ABA,Cuyahoga County,"11075 East Blvd, Cleveland, OH 44106"
Des Moines,Iowa,41.591064,-93.603715,Drake University Law School,Private,Full ABA,Polk County,
Iowa City,Iowa,41.661256,-91.529911,University of Iowa College of Law,Public,Full ABA,Johnson County,
Bristol,Rhode Island,41.677046,-71.26616,Roger Williams University School of Law,Private,Full ABA,Bristol County,
Toledo,Ohio,41.678675,-83.512728,University of Toledo College of Law,Public,Full ABA,Lucas County,
Notre Dame,Indiana,41.6992,-86.237369,Notre Dame Law School,Private,Full ABA,St. Joseph County,
Hartford,Connecticut,41.765558,-72.690613,University of Connecticut School of Law,Public,Full ABA,Hartford County,
Chicago,Illinois,41.785416,-87.598579,University of Chicago Law School,Private,Full ABA,Cook County,"1111 E 60th St, Chicago, IL 60637"
Chicago,Illinois,41.877771,-87.628449,John Marshall Law School,Private,Full ABA,Cook County,"315 S Plymouth Ct, Chicago, IL 60604"
Chicago,Illinois,41.878028,-87.626389,DePaul University College of Law,Private,Full ABA,Cook County,Found geocode
